Ep:    50 | Reward:    -5.1 | Avg Reward:    -6.7 | Epsilon: 0.778 | Loss 0.0135 | Steps 2500
Ep:    51 | Reward:    -5.1 | Avg Reward:    -6.7 | Epsilon: 0.774 | Loss 0.0168 | Steps 2550
Ep:    52 | Reward:    -3.3 | Avg Reward:    -6.6 | Epsilon: 0.771 | Loss 0.0154 | Steps 2600
Ep:    53 | Reward:    -6.9 | Avg Reward:    -6.6 | Epsilon: 0.767 | Loss 0.0133 | Steps 2650
Ep:    54 | Reward:    -8.1 | Avg Reward:    -6.6 | Epsilon: 0.763 | Loss 0.0120 | Steps 2700
Ep:    55 | Reward:    -6.3 | Avg Reward:    -6.6 | Epsilon: 0.759 | Loss 0.0106 | Steps 2750
Ep:    56 | Reward:    -5.7 | Avg Reward:    -6.6 | Epsilon: 0.755 | Loss 0.0150 | Steps 2800
Ep:    57 | Reward:    -8.1 | Avg Reward:    -6.6 | Epsilon: 0.751 | Loss 0.0103 | Steps 2850
Ep:    58 | Reward:    -6.3 | Avg Reward:    -6.6 | Epsilon: 0.748 | Loss 0.0124 | Steps 2900
Ep:    59 | Reward:    -6.3 | Avg Reward:    -6.6 | Epsilon: 0.744 | Loss 0.0105 | Steps 2950
Ep:    60 | Reward:    -7.5 | Avg Reward:    -6.6 | Epsilon: 0.740 | Loss 0.0117 | Steps 3000
Ep:    61 | Reward:    -6.3 | Avg Reward:    -6.6 | Epsilon: 0.737 | Loss 0.0126 | Steps 3050
Ep:    62 | Reward:    -5.1 | Avg Reward:    -6.6 | Epsilon: 0.733 | Loss 0.0096 | Steps 3100
Ep:    63 | Reward:    -4.5 | Avg Reward:    -6.6 | Epsilon: 0.729 | Loss 0.0139 | Steps 3150
Ep:    64 | Reward:     3.9 | Avg Reward:    -6.4 | Epsilon: 0.726 | Loss 0.0086 | Steps 3200
Ep:    65 | Reward:    -7.5 | Avg Reward:    -6.4 | Epsilon: 0.722 | Loss 0.0090 | Steps 3250
Ep:    66 | Reward:    -1.5 | Avg Reward:    -6.4 | Epsilon: 0.718 | Loss 0.0093 | Steps 3300
Ep:    67 | Reward:    -6.3 | Avg Reward:    -6.4 | Epsilon: 0.715 | Loss 0.0087 | Steps 3350
Ep:    68 | Reward:    -5.7 | Avg Reward:    -6.4 | Epsilon: 0.711 | Loss 0.0117 | Steps 3400
Ep:    69 | Reward:    -4.5 | Avg Reward:    -6.3 | Epsilon: 0.708 | Loss 0.0103 | Steps 3450
